bodyId,type,instance
800179,IN23B018,IN23B018_R
800180,IN23B005,IN23B005_R
800192,INXXX038,INXXX038_R
800193,IN01B001,IN01B001_R
800208,IN05B010,IN05B010_R
800220,IN06B016,IN06B016_L
800221,IN04B001,IN04B001_R
800225,IN23B009,IN23B009_R
800232,INXXX027,INXXX027_L
800243,IN23B009,IN23B009_R
800268,IN01B001,IN01B001_L
800281,INXXX004,INXXX004_R
800303,IN23B009,IN23B009_L
800305,INXXX044,INXXX044_L
800319,INXXX027,INXXX027_R
800321,INXXX135,INXXX135_L
800337,IN23B005,IN23B005_L
800393,IN08B080,IN08B080_L
800401,IN23B005,IN23B005_L
800437,IN05B030,IN05B030_R
800471,IN13A002,IN13A002_R
800483,IN03A007,IN03A007_L
800485,IN06B003,IN06B003_L
800488,INXXX027,INXXX027_L
800510,INXXX038,INXXX038_L
800517,INXXX027,INXXX027_R
800537,IN23B009,IN23B009_L
800575,INXXX044,INXXX044_L
800580,IN01A012,IN01A012_L
800585,IN04B068,IN04B068_R
800632,IN09B014,IN09B014_R
800640,IN20A.22A008,IN20A.22A008_L
800651,IN12B011,IN12B011_L
800660,INXXX044,INXXX044_R
800669,IN23B037,IN23B037_R
800671,IN13A004,IN13A004_R
800676,IN09B008,IN09B008_R
800684,IN12A002,IN12A002_L
800691,IN13A005,IN13A005_R
800713,INXXX100,INXXX100_R
800721,IN09B014,IN09B014_L
800739,IN12A002,IN12A002_L
800763,IN05B020,IN05B020_L
800788,INXXX044,INXXX044_R
800804,IN12A002,IN12A002_R
800822,IN17A023,IN17A023_R
800826,IN17B006,IN17B006_R
800835,INXXX100,INXXX100_L
800836,IN13A004,IN13A004_L
800868,DNpe002,DNpe002(VES068)_R
800902,IN09A003,IN09A003_L
800978,IN03A015,IN03A015_L
800998,IN17B004,IN17B004_R
801018,IN13A007,IN13A007_L
801059,IN17A016,IN17A016_L
801072,IN07B012,IN07B012_R
801143,IN05B001,IN05B001_L
801206,AN17A018,AN17A018_R
801256,IN13A007,IN13A007_R
