bodyId,type,instance
151582,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
152829,BM_Vib,BM_Vib_L
154152,JO-FV,JO-FV_L
155298,AN05B054_b,AN05B054_b_L
156256,BM,BM_L
157219,BM_Taste,BM_Taste_L
158715,BM_MaPa,BM_MaPa_L
162471,AN09B020,AN09B020_R
163451,BM_Taste,BM_Taste_R
166035,BM_Vib,BM_Vib_R
169936,BM,BM_L
170107,DNge182,DNge182_L
172753,BM_vOcci_vPoOr,BM_vOcci_vPoOr_L
173087,BM_Vib,BM_Vib_L
175014,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
176912,BM_Vib,BM_Vib_L
177248,,
179637,JO-FV,JO-FV_L
180061,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
181692,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
182601,AN12B060,AN12B060_L
183149,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
183993,JO-FV,JO-FV_R
184563,BM_Taste,BM_Taste_R
184586,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
184643,BM_InOm,BM_InOm_L
186323,BM,BM_R
189426,BM_InOm,BM_InOm_L
189703,BM_vOcci_vPoOr,BM_vOcci_vPoOr_L
189997,BM_InOm,BM_InOm_L
190983,BM_InOm,BM_InOm_R
191539,BM_InOm,BM_InOm_L
192123,AN12B060,AN12B060_L
192612,BM_InOm,BM_InOm_L
193450,BM_InOm,BM_InOm_L
193699,BM_InOm,BM_InOm_L
195910,BM_InOm,BM_InOm_L
199395,BM_MaPa,BM_MaPa_L
199738,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
200682,MNx04,MNx04_R
202814,BM_InOm,BM_InOm_L
203208,BM_InOm,BM_InOm_L
203822,BM_InOm,BM_InOm_L
205384,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
206889,BM_InOm,BM_InOm_L
207348,BM_InOm,BM_InOm_L
207504,BM_InOm,BM_InOm_L
208200,BM_InOm,BM_InOm_L
208515,BM_InOm,BM_InOm_L
208719,BM_InOm,BM_InOm_L
209326,BM,BM_R
209503,BM_InOm,BM_InOm_R
210111,BM_MaPa,BM_MaPa_R
210215,AN09B023,AN09B023_R
210251,BM_InOm,BM_InOm_L
210253,BM_InOm,BM_InOm_L
210476,BM_InOm,BM_InOm_L
210915,BM_InOm,BM_InOm_L
211020,BM_InOm,BM_InOm_L
211092,BM_InOm,BM_InOm_L
211409,BM_InOm,BM_InOm_R
212198,BM_InOm,BM_InOm_L
212640,BM_InOm,BM_InOm_L
212863,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
212910,BM_MaPa,BM_MaPa_R
212922,BM_InOm,BM_InOm_L
213138,BM_InOm,BM_InOm_L
214285,BM_InOm,BM_InOm_L
214292,BM_InOm,BM_InOm_L
214463,JO-unclear,JO-unclear_L
214478,BM_InOm,BM_InOm_L
214767,BM_InOm,BM_InOm_L
215032,BM_InOm,BM_InOm_L
215151,BM_InOm,BM_InOm_L
215573,BM_InOm,BM_InOm_L
215643,BM_InOm,BM_InOm_L
216573,BM_InOm,BM_InOm_L
217851,BM_InOm,BM_InOm_L
218513,JO-FV,JO-FV_R
218719,BM_InOm,BM_InOm_L
218722,ANXXX086,ANXXX086_L
218888,BM_InOm,BM_InOm_R
219189,,
220166,BM_InOm,BM_InOm_L
220334,BM,BM_L
220523,BM_InOm,BM_InOm_L
220580,BM_InOm,BM_InOm_L
220685,BM_InOm,BM_InOm_L
221163,BM_InOm,BM_InOm_L
221349,BM_InOm,BM_InOm_L
221428,BM_InOm,BM_InOm_L
221504,BM_InOm,BM_InOm_L
221778,BM_InOm,BM_InOm_L
221779,BM_InOm,BM_InOm_L
221788,BM_InOm,BM_InOm_L
222144,BM_InOm,BM_InOm_L
222415,BM_InOm,BM_InOm_L
223296,BM_InOm,BM_InOm_L
223575,BM_InOm,BM_InOm_L
223943,BM_InOm,BM_InOm_L
224058,BM_InOm,BM_InOm_L
224061,JO-FD2,JO-FD2_R
224261,JO-FV,JO-FV_L
224404,BM_InOm,BM_InOm_L
224633,BM_InOm,BM_InOm_R
225563,BM_InOm,BM_InOm_L
226075,BM_InOm,BM_InOm_L
226280,BM_InOm,BM_InOm_L
226581,AN12B076,AN12B076_R
226587,BM_InOm,BM_InOm_L
227023,BM_InOm,BM_InOm_L
227275,BM_InOm,BM_InOm_L
227655,JO-FV,JO-FV_L
227896,BM_InOm,BM_InOm_L
228003,BM_InOm,BM_InOm_L
228252,BM_InOm,BM_InOm_L
228534,BM_InOm,BM_InOm_L
228930,BM_InOm,BM_InOm_L
229032,BM_InOm,BM_InOm_L
229440,BM_InOm,BM_InOm_L
229545,BM_InOm,BM_InOm_L
229891,BM_InOm,BM_InOm_L
230007,BM_InOm,BM_InOm_R
230757,BM_InOm,BM_InOm_L
230996,BM_InOm,BM_InOm_L
231188,BM_MaPa,BM_MaPa_R
231409,BM,BM_L
231544,BM_InOm,BM_InOm_L
231648,BM,BM_R
231826,BM_InOm,BM_InOm_L
231925,BM_InOm,BM_InOm_L
231936,JO-FD1,JO-FD1_L
232031,BM_InOm,BM_InOm_L
232742,BM_InOm,BM_InOm_L
232995,BM_InOm,BM_InOm_L
233045,BM_InOm,BM_InOm_L
233166,BM_InOm,BM_InOm_L
233717,BM_InOm,BM_InOm_L
234075,BM_InOm,BM_InOm_L
234380,BM_InOm,BM_InOm_L
234547,BM_InOm,BM_InOm_R
235150,,
235397,BM_InOm,BM_InOm_L
235830,BM_InOm,BM_InOm_L
236146,AN12B060,AN12B060_R
236166,BM_InOm,BM_InOm_L
236601,BM_InOm,BM_InOm_L
236642,AN12B080,AN12B080_R
236733,BM_InOm,BM_InOm_L
237207,BM_InOm,BM_InOm_L
237468,BM_InOm,BM_InOm_L
237833,JO-FV,JO-FV_L
238266,BM_InOm,BM_InOm_L
238358,BM_InOm,BM_InOm_L
238803,BM_InOm,BM_InOm_L
238917,BM_InOm,BM_InOm_L
240429,BM_InOm,BM_InOm_L
240648,BM_InOm,BM_InOm_L
241227,BM_Vib,BM_Vib_R
241273,BM_InOm,BM_InOm_L
241942,BM_InOm,BM_InOm_L
242352,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
242463,BM_InOm,BM_InOm_L
242623,BM_InOm,BM_InOm_L
242842,BM_InOm,BM_InOm_L
242879,BM,BM_L
244560,BM_InOm,BM_InOm_L
244621,BM_InOm,BM_InOm_L
244634,BM_InOm,BM_InOm_L
244762,BM_InOm,BM_InOm_L
244900,BM_InOm,BM_InOm_L
245258,BM_InOm,BM_InOm_L
245627,BM_InOm,BM_InOm_L
246573,BM_InOm,BM_InOm_R
246760,BM_InOm,BM_InOm_L
246970,BM_InOm,BM_InOm_L
247028,JO-FV,JO-FV_L
247499,BM_InOm,BM_InOm_L
247785,BM_InOm,BM_InOm_L
248139,BM_InOm,BM_InOm_L
249230,BM_InOm,BM_InOm_R
249354,BM_InOm,BM_InOm_L
249396,BM,BM_L
249601,BM,BM_L
249680,BM_InOm,BM_InOm_L
249814,BM_InOm,BM_InOm_L
250870,BM_InOm,BM_InOm_L
252264,BM_InOm,BM_InOm_L
252308,BM_InOm,BM_InOm_L
252582,BM_InOm,BM_InOm_L
253245,BM_InOm,BM_InOm_L
253651,BM_InOm,BM_InOm_L
253695,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
255012,BM_InOm,BM_InOm_R
255240,BM_InOm,BM_InOm_L
255531,BM_InOm,BM_InOm_L
255563,BM_InOm,BM_InOm_L
256027,BM_InOm,BM_InOm_L
256417,BM_InOm,BM_InOm_L
256521,BM_InOm,BM_InOm_L
257403,BM_InOm,BM_InOm_L
258029,BM_InOm,BM_InOm_L
258330,BM_InOm,BM_InOm_L
258443,BM_InOm,BM_InOm_L
258520,BM_InOm,BM_InOm_L
259289,BM,BM_L
259513,BM_InOm,BM_InOm_L
260788,BM_InOm,BM_InOm_R
262589,BM_InOm,BM_InOm_L
263271,BM_InOm,BM_InOm_L
263985,BM_InOm,BM_InOm_R
265662,BM_InOm,BM_InOm_L
265858,BM_InOm,BM_InOm_L
266262,BM_InOm,BM_InOm_L
266317,BM_InOm,BM_InOm_R
266558,BM_InOm,BM_InOm_L
267387,BM_InOm,BM_InOm_L
268222,BM_InOm,BM_InOm_L
268351,JO-FD2,JO-FD2_R
268417,,
269127,BM_InOm,BM_InOm_R
270485,BM_InOm,BM_InOm_L
270753,BM_InOm,BM_InOm_L
271182,BM_InOm,BM_InOm_L
271825,BM_InOm,BM_InOm_R
272307,BM_InOm,BM_InOm_L
272912,BM_InOm,BM_InOm_R
273370,BM_InOm,BM_InOm_L
274117,BM_InOm,BM_InOm_L
274845,,
275075,BM_InOm,BM_InOm_R
275384,BM_InOm,BM_InOm_L
275782,BM_InOm,BM_InOm_L
276003,BM_InOm,BM_InOm_L
276272,BM_InOm,BM_InOm_L
277939,BM_InOm,BM_InOm_L
278464,BM_MaPa,BM_MaPa_L
278866,BM_InOm,BM_InOm_R
278936,BM_InOm,BM_InOm_R
279099,BM_InOm,BM_InOm_R
279391,JO-FV,JO-FV_L
279816,BM_InOm,BM_InOm_L
280127,BM_InOm,BM_InOm_L
280153,BM_InOm,BM_InOm_R
280166,BM_InOm,BM_InOm_L
281057,BM_InOm,BM_InOm_R
281216,BM_InOm,BM_InOm_L
281806,BM_InOm,BM_InOm_L
282176,BM_MaPa,BM_MaPa_L
283013,BM_InOm,BM_InOm_R
283181,BM_InOm,BM_InOm_L
283955,BM_InOm,BM_InOm_R
