Root ID,Top in/out region,Community labels,Predicted NT type,Predicted NT confidence,Verified NT type,Verified Neuropeptide,Body Part,Function,Flow,Super Class,Class,Sub Class,Hemilineage,Nerve,Soma side,Primary Cell Type,Alternative Cell Type(s),Cable length (nm),Surface area (nm^2),Volume (nm^3)
43434,g12473,statusLabel: Prelim Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,left,Mi1,Mi1,,,
43435,g22003,statusLabel: Reviewed,ACH,0.97,,,,,,ol_intrinsic,,,,,left,T4d,T4d,,,
43436,g30777,"flywireType: AN_GNG_9,mancBodyid: 10232,statusLabel: Prelim Roughly traced",ACH,0.96,,,,,,ascending_neuron,,BA,19B,,right,AN19B004,AN19B004,,,
43437,g18847,"flywireType: LPi08,statusLabel: Roughly traced",GLUT,0.82,,,,,,ol_intrinsic,,,,,right,LPi3b,LPi3b,,,
43438,g12291,"hemibrainType: MC61,MC64,statusLabel: Prelim Roughly traced",ACH,0.96,,,,,,visual_projection,,,,,left,MeTu1,MeTu1,,,
43439,g15648,"flywireType: Tlp5,statusLabel: Roughly traced",GLUT,0.83,,,,,,ol_intrinsic,,,,,right,Tlp11,Tlp11,,,
43440,g20297,"statusLabel: Roughly traced,supertype: 20297",ACH,0.89,,,,,,visual_projection,,,VPNv2,,right,LC16,LC16,,,
43441,g11062,statusLabel: Roughly traced,,,,,,,,ol_intrinsic,,,,,right,L4,L4,,,
43442,g33677,"flywireType: LAL056b,statusLabel: Roughly traced,supertype: 25547",GABA,0.77,,,,,,cb_intrinsic,,,LALa1_anterior,,left,LAL056,LAL056,,,
43443,g12245,statusLabel: Reviewed,ACH,0.97,,,,,,ol_intrinsic,,,,,left,T2a,T2a,,,
43444,g12970,statusLabel: Prelim Roughly traced,,,,,,,,ol_intrinsic,,,,,left,T1,T1,,,
43445,g30604,"hemibrainType: PS043,PS044,statusLabel: Roughly traced,supertype: 26675",ACH,0.96,,,,,,cb_intrinsic,,,WEDd1,,left,CB2497,CB2497,,,
43446,g12473,statusLabel: Roughly traced,ACH,0.96,,,,,,ol_intrinsic,,,,,right,Mi1,Mi1,,,
43448,g,"statusLabel: Roughly traced,supertype: 19225",GABA,0.67,,,,,,cb_intrinsic,,,LHl4_dorsal,,right,LHCENT13_c,LHCENT13_c,,,
43450,g13579,statusLabel: Roughly traced,GABA,0.87,,,,,,ol_intrinsic,,,,,right,Mi4,Mi4,,,
43451,g13979,statusLabel: Prelim Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,left,Tm1,Tm1,,,
43452,g16122,statusLabel: Reviewed,ACH,0.97,,,,,,ol_intrinsic,,,,,left,T4c,T4c,,,
43453,g13979,statusLabel: Prelim Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,left,Tm1,Tm1,,,
43454,g17127,statusLabel: Reviewed,ACH,0.79,,,,,,ol_intrinsic,,,,,left,Tm40,Tm40,,,
43455,g12970,statusLabel: Roughly traced,,,,,,,,ol_intrinsic,,,,,right,T1,T1,,,
43456,g16846,"flywireType: Pm01,statusLabel: Roughly traced",GABA,0.88,,,,,,ol_intrinsic,,,,,right,Pm1,Pm1,,,
43457,g26715,"flywireType: AVLP187a,statusLabel: Roughly traced,supertype: 13424",ACH,0.87,,,,,,cb_intrinsic,,,VLPl2_medial,,left,AVLP187,AVLP187,,,
43458,g19351,"flywireType: MTe50,statusLabel: Roughly traced",ACH,0.95,,,,,,visual_projection,,,,,right,MeVP11,MeVP11,,,
43459,g19741,"flywireType: Tm8b,statusLabel: Roughly traced",ACH,0.95,,,,,,ol_intrinsic,,,,,right,Tm36,Tm36,,,
43460,g13861,"flywireType: CB2385,statusLabel: Roughly traced",ACH,0.8,,,,,,cb_intrinsic,,,putative_primary,,left,GNG044,GNG044,,,
43461,g13579,statusLabel: Roughly traced,GABA,0.88,,,,,,ol_intrinsic,,,,,right,Mi4,Mi4,,,
43462,g25631,"flywireType: KCapbp-ap1,hemibrainType: KCa'b'-ap1,instance: KCa'b'-ap1,statusLabel: Roughly traced,supertype: 17488",DA,0.69,,,,,,cb_intrinsic,Kenyon_Cell,,MBp3,,right,KCab-ap1,KCab-ap1,,,
43463,g14496,statusLabel: Roughly traced,ACH,0.95,,,,,,visual_projection,,,,,right,LLPC3,LLPC3,,,
43464,g10921,statusLabel: Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,right,Y3,Y3,,,
43465,g16041,"flywireType: Pm02,statusLabel: Roughly traced",GABA,0.8,,,,,,ol_intrinsic,,,,,right,Pm5,Pm5,,,
43466,g11763,"flywireType: Li06,statusLabel: Roughly traced",ACH,0.97,,,,,,ol_intrinsic,,,,,right,Tm24,Tm24,,,
43467,g12970,statusLabel: Prelim Roughly traced,,,,,,,,ol_intrinsic,,,,,left,T1,T1,,,
43468,g26713,"hemibrainType: MC61,MC64,statusLabel: Roughly traced",ACH,0.92,,,,,,visual_projection,,,,,right,MeTu3c,MeTu3c,,,
43469,g10465,statusLabel: Prelim Roughly traced,GLUT,0.86,,,,,,ol_intrinsic,,,,,left,L1,L1,,,
43471,g13421,statusLabel: Reviewed,ACH,0.97,,,,,,ol_intrinsic,,,,,left,Tm3,Tm3,,,
43473,g,"flywireType: AN_AVLP_GNG_23,mancBodyid: 19560,statusLabel: Prelim Roughly traced",GABA,0.83,,,,,,ascending_neuron,,BA,05B,,left,AN05B078,AN05B078,,,
